UID_csoc;csoc_Q01_01;csoc_Q01_02;csoc_Q01_03;csoc_Q01_04;csoc_Q01_05;csoc_Q01_06;csoc_Q01_07;csoc_Q01_08;csoc_Q01_09;csoc_Q01_10;csoc_Q02_01;csoc_Q02_02;csoc_Q02_03;csoc_Q02_04;csoc_Q03;csoc_Q04;csoc_Q05;csoc_Q06_01;csoc_Q06_02;csoc_Q06_03;csoc_Q06_04;csoc_Q06_05;csoc_Q07_01;csoc_Q07_02;csoc_Q07_03;csoc_Q07_04;csoc_Q07_05;csoc_Q08_01;csoc_Q08_02;csoc_Q08_03;csoc_Q09;csoc_Q10;csoc_Q11_01;csoc_Q11_02;csoc_Q12_01;csoc_Q12_02;csoc_Q12_03;csoc_Q13;csoc_Q14;csoc_Q15;csoc_Q16;csoc_Q17;csoc_Q18;csoc_Q19;csoc_Q20;csoc_Q21;csoc_Q22;csoc_Q23;csoc_Q24;csoc_Q25;csoc_Q26_01;csoc_Q26_02;csoc_Q27;csoc_Q28_01;csoc_Q28_02;csoc_Q29_01_1;csoc_Q29_01_2;csoc_Q29_01_3;csoc_Q29_01_4;csoc_Q29_01_5;csoc_Q29_02_1;csoc_Q29_02_2;csoc_Q29_02_3;csoc_Q29_02_4;csoc_Q29_02_5;csoc_Q29_03_1;csoc_Q29_03_2;csoc_Q29_03_3;csoc_Q29_03_4;csoc_Q29_03_5;csoc_Q29_04_1;csoc_Q29_04_2;csoc_Q29_04_3;csoc_Q29_04_4;csoc_Q29_04_5;csoc_Q29_05_1;csoc_Q29_05_2;csoc_Q29_05_3;csoc_Q29_05_4;csoc_Q29_05_5;csoc_Q29_06_1;csoc_Q29_06_2;csoc_Q29_06_3;csoc_Q29_06_4;csoc_Q29_06_5;csoc_Q29_07_1;csoc_Q29_07_2;csoc_Q29_07_3;csoc_Q29_07_4;csoc_Q29_07_5;csoc_Q29_08_1;csoc_Q29_08_2;csoc_Q29_08_3;csoc_Q29_08_4;csoc_Q29_08_5;csoc_Q29_09_1;csoc_Q29_09_2;csoc_Q29_09_3;csoc_Q29_09_4;csoc_Q29_09_5;csoc_Q29_10_1;csoc_Q29_10_2;csoc_Q29_10_3;csoc_Q29_10_4;csoc_Q29_10_5;csoc_Q29_11_1;csoc_Q29_11_2;csoc_Q29_11_3;csoc_Q29_11_4;csoc_Q29_11_5;csoc_Q29_12_1;csoc_Q29_12_2;csoc_Q29_12_3;csoc_Q29_12_4;csoc_Q29_12_5;csoc_Q30_01;csoc_Q30_02;csoc_Q30_03;csoc_Q30_04;csoc_Q30_05;csoc_Q30_06;csoc_Q30_07;csoc_Q30_08;csoc_Q31;csoc_SEXE_1;csoc_AGE_1;csoc_SEXE_2;csoc_AGE_2;csoc_Q34_1;csoc_Q35_1;csoc_Q36_1;csoc_Q37_1;csoc_Q38_1;csoc_Q39_1;csoc_Q40_1;csoc_Q41_1;csoc_Q42_1;csoc_Q43_1_1;csoc_Q43_1_2;csoc_Q43_1_3;csoc_Q43_1_4;csoc_Q43_1_5;csoc_Q43_1_6;csoc_Q34_2;csoc_Q35_2;csoc_Q36_2;csoc_Q37_2;csoc_Q38_2;csoc_Q39_2;csoc_Q40_2;csoc_Q41_2;csoc_Q42_2;csoc_Q43_2_1;csoc_Q43_2_2;csoc_Q43_2_3;csoc_Q43_2_4;csoc_Q43_2_5;csoc_Q43_2_6;csoc_Q44;csoc_Q45_1;csoc_Q45_2;csoc_Q45_3;csoc_Q45_4;csoc_Q45_5;csoc_Q45_6;csoc_Q45_7;csoc_Q45_8;csoc_Q45_9;csoc_Q45_10;csoc_Q45_11;csoc_Q46;csoc_Q47;csoc_Q48;csoc_Q49;csoc_Q50;csoc_Q51;csoc_Q52;csoc_Q53;csoc_Q54;csoc_Q55;csoc_Q56;csoc_Q57_1;csoc_Q57_2;csoc_Q57_3;csoc_Q57_4;csoc_Q57_5;csoc_Q57_6;csoc_Q57_7;csoc_Q57_8;csoc_Q57_9;csoc_Q57_10;csoc_Q57_11;csoc_Q58;csoc_Q59;csoc_Q60;csoc_Q61;csoc_Q62;csoc_Q63;csoc_Q64;csoc_Q65;csoc_Q66;csoc_Q67;csoc_Q68;csoc_Q69_1;csoc_Q69_2;csoc_Q69_3;csoc_Q69_4;csoc_Q69_5;csoc_Q69_6;csoc_Q69_7;csoc_Q69_8;csoc_Q69_9;csoc_Q70;csoc_Q71;csoc_Q72;csoc_Q73;csoc_Q74_1;csoc_Q74_2;csoc_Q74_3;csoc_Q74_4;csoc_Q75_1;csoc_Q75_2;csoc_Q75_3;csoc_Q75_4;csoc_Q75BIS_1;csoc_Q75BIS_2;csoc_Q75BIS_3;csoc_Q75BIS_4;csoc_Q76_1;csoc_Q76_2;csoc_Q76_3;csoc_Q76_4;csoc_Q77_1;csoc_Q77_2;csoc_Q77_3;csoc_Q77_4;csoc_Q78_1;csoc_Q78_2;csoc_Q78_3;csoc_Q78_4;csoc_CCL4;csoc_CCL5;csoc_CCL6;csoc_CCL7_1;csoc_CCL7_2;csoc_CCL7_3;csoc_CCL7_4;csoc_CCL7_5;csoc_CCL7_6;ea19_A1;ea19_A2A_rec;ea19_A4;ea19_A5;ea19_A5C_rec;ea19_A3B_rec;ea19_A3_rec;ea19_A3C_rec;ea19_A3D;ea19_A3E_rec;ea19_B1;ea19_B1B;ea19_B2_rec;ea19_B5_rec;ea19_B5B_rec;ea19_B5C;ea19_B6B_rec;ea19_B6A_rec;ea19_B7B_rec;ea19_B25;ea19_B10A;ea19_B10AA;ea19_B11;ea19_B18_rec;ea19_B18C;ea19_C1_rec;ea19_C1JEU;ea19_TYPMEN5;ea19_C8;ea19_C8A_rec;ea19_C8B_rec;ea19_B1CJT;ea19_B1ACJT;ea19_B1BCJT;ea19_B2CJT_rec;ea19_B4CJT_rec;ea19_B10ACJT;ea19_B18CJT_rec;ea19_B18CCJT;ea19_D1_rec;ea19_D1A;ea19_D2;ea19_D3;ea19_D4_rec;ea19_D5_rec;ea19_D6;ea19_D7_1;ea19_D7_2;ea19_D7_3;ea19_D7_4;ea19_D7_5;ea19_D7_6;ea19_D7_7;ea19_D7_8;ea19_D7_9;ea19_D7_10;ea19_E1A;ea19_E1B;ea19_E1C;ea19_E1D;ea19_E1E;ea19_E1F;ea19_E1G;ea19_E1H;ea19_E1I;ea19_E1J;ea19_E2A_rec;ea19_E2AUC;ea19_E3A;ea19_E3B;ea19_E3C;ea19_E3D;ea19_E3E;ea19_E4;ea19_E5;ea19_F1_rec;ea19_F3;ea19_F6_rec;ea19_F7;ea19_F8;ea19_G1;ea19_G2;ea19_G3A;ea19_G3B;ea19_G3C;ea19_G4;ea19_G6_1;ea19_G6_2;ea19_G6_3;ea19_G6_4;ea19_G5;ea19_H1A;ea19_H4;ea19_I1;ea19_I8;ea19_J1;ea19_K3;B_ea19_PCS31;B_ea19_PCS31CJT;insee_NUTS1;insee_CATAEU2010;insee_TAU2014;insee_TUU2014;cal_SEXE;cal_AGE1;cal_AGE2;cal_NAT;cal_DIPL;cal_ZEAT;POIDS_INIT;PDSPLT_INIT;POIDS_csoc;PDSPLT_csoc;PDSLNG_ea19
1;3;4;2;4;4;4;4;4;4;4;2;3;1;3;1;1;4;3;1;3;3;1;7;3;1;3;1;2;2;2;4;3;7;7;4;1;3;1;3;2;5;2;1;4;7;7;95;7;5;4;4;5;6;6;1;2;1;2;2;2;8;8;8;8;8;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;2;1;2;1;2;32;2;30;9;4;3;5;14;8;5;5;4;1;1;2;2;2;2;13;4;1;3;14;8;2;3;3;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;2;2;2;2;2;2;1;2;2;2;1998;1;5;666;66;2;66;1;2005;13;2;2;2;2;1;2;2;2;2;2;1;2;66;5;5;2;5;2;2;4;4;4;4;4;5;4;2;1;1;0;3;3;1;2;3;3;1;1;9;4;4;4;4;2;3;2;3;2;8;3;1;6;1;1;6;2;6;1;1;4;1;6;66;88;66;3;2;6;6;6;1;1;3;2;4;2;6;6;1;6;1;4;6;6;6;2;3;1;5;2;3;3;5;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;11;6;2;1;1;2;2;2;4;2;2;4;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;5;1;4;56;48;4;111;9;7;2;3;3;1;1;4;2,16232546444535;NA;2,5017110722984;NA;2,62027125552014
2;2;9;3;3;2;4;4;3;4;4;2;2;3;3;1;1;4;1;1;3;3;1;1;3;1;1;1;3;1;1;3;2;5;5;2;2;2;1;1;1;3;2;4;2;95;2;95;95;2;3;3;3;3;3;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;51;1;50;13;2;2;3;28;8;2;2;2;2;1;2;2;2;2;7;4;4;4;25;8;3;2;2;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;1;2;5;3;1;1;5;2;2;2;5;2;3;5;0;3;3;3;1;1;1;1;1;3;3;4;4;5;5;4;4;5;4;2;10;1;3;66;1;1;6;2;6;1;1;5;1;6;66;66;2;1;1;6;6;6;7;2;1;1;1;2;6;6;66;6;6;66;6;6;66;6;2;6;66;2;2;3;5;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;6;4;1;1;1;2;2;2;4;96;2;1;2;2;2;4;3;2;1;3;2;2;1;2;2;2;1;4;3;1;1;63;666;7;111;9;7;2;4;4;1;2;7;0,958636432702777;NA;0,94024444277287;NA;0,927048789589409
3;4;3;4;3;4;3;1;4;4;1;1;2;3;3;1;6;5;6;4;3;3;3;1;8;1;1;1;3;4;4;4;3;5;5;2;3;3;1;2;1;8;66;1;5;95;3;3;6;5;1;3;3;2;4;3;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;71;2;68;8;3;6;5;25;8;4;2;4;1;1;2;2;2;2;6;3;2;5;60;13;4;3;3;1;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;1;2;2;2;2;2;2;2;1;2;2016;1;2;666;66;2;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;3;3;1;4;1;3;1;2;1;2;3;3;0;0;3;0;2;3;1;2;4;3;3;3;4;4;3;2;2;3;3;2;3;2;13;2;1;4;1;1;6;2;6;6;2;1;6;6;66;6;66;9;6;6;6;1;11;5;2;1;3;1;2;1;6;2;2;5;6;6;10;4;1;6;66;2;5;2;5;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;12;9;1;1;1;2;1;1;4;3;1;3;2;2;2;4;2;2;2;5;2;2;1;1;1;2;1;2;7;3;5;34;46;2;112;10;4;2;6;6;1;4;2;0,480333005154974;NA;0,306814035062511;NA;0,309811563321945
4;4;4;4;4;4;4;4;4;4;4;3;3;2;1;1;1;2;1;1;7;7;1;1;7;6;7;1;3;4;3;2;4;8;4;2;2;3;3;4;4;3;1;1;2;95;7;95;2;2;1;3;5;4;4;3;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;32;9;999;12;3;1;2;6;3;1;1;1;2;1;2;2;2;2;66;6;66;6;666;66;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;1;2;2;2;2;2;2;2;2;2;2012;1;9;666;66;2;66;1;2005;3;2;1;2;2;2;2;2;2;2;2;4;6;6;66;1;1;2;3;1;1;4;3;4;4;4;5;0;1;0;1;3;2;1;2;3;3;1;1;5;4;4;3;3;2;2;2;4;2;6;1;3;66;1;1;6;2;6;1;1;6;1;6;66;66;6;11;2;6;6;6;1;1;3;3;2;2;6;6;66;6;6;66;6;6;66;6;3;1;5;2;6;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;1;6;2;2;2;1;2;2;2;2;96;2;4;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;4;5;2;3;56;666;1;112;10;1;2;2;2;1;2;1;2,37295681322487;NA;4,90135245771693;NA;5,70255496990024
5;4;2;1;4;2;4;4;3;4;1;2;3;2;4;1;1;5;1;1;3;3;1;7;5;7;3;1;3;2;3;4;2;6;4;4;3;2;1;1;1;5;2;5;4;3;95;96;7;4;2;2;5;6;3;2;2;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;1;2;53;2;53;7;3;4;5;42;1;4;3;4;2;1;2;2;2;2;10;2;1;5;20;8;4;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1996;1;1;666;6;1;666;66;2;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;1;2009;6;1;2;2;2;2;2;2;1;2;2;1;1;66;7;2;3;4;4;1;2;4;1;4;4;4;3;2;2;1;3;3;4;1;3;1;4;3;5;7;3;3;3;5;3;2;2;3;2;10;3;1;7;1;1;6;2;6;1;1;4;1;6;66;4;66;11;2;6;6;6;10;4;3;1;4;1;2;2;1;6;1;5;6;6;10;4;1;6;66;1;7;5;5;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;1;2;12;9;1;2;1;1;1;2;5;3;2;2;2;2;1;3;4;4;3;2;2;2;1;2;2;1;2;2;3;2;2;35;63;1;111;10;8;2;4;4;1;3;1;1,40007691592556;NA;1,40098600752978;NA;1,44191886491774
6;2;3;2;1;4;4;2;3;3;3;2;2;4;1;2;1;4;3;1;1;3;2;1;5;1;3;1;3;2;1;2;3;3;3;3;1;2;1;1;1;4;2;3;3;3;95;95;7;3;2;2;4;2;3;3;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;44;1;47;13;4;2;2;8;4;2;3;3;2;1;1;2;2;2;14;2;2;3;10;4;2;3;3;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2014;1;1;666;6;1;666;66;2;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;1;2006;14;1;2;1;2;2;2;2;2;2;2;1;2;66;9;4;1;3;1;2;1;4;5;5;3;5;4;18;3;3;8;4;3;4;5;2;3;4;5;4;4;4;2;5;3;4;5;4;1;9;1;3;66;1;1;6;2;6;1;1;5;1;6;66;66;2;1;2;6;6;6;6;2;1;1;1;2;6;6;66;6;6;66;6;6;66;6;1;6;66;1;5;3;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;7;6;1;1;2;1;1;2;3;96;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2;1;4;5;2;1;62;666;5;120;0;0;1;4;4;1;2;5;0,373061755408173;NA;0,348980017822789;NA;0,351970427960348
7;4;3;4;4;3;4;3;1;4;4;2;2;2;1;1;1;4;3;3;3;3;3;1;7;7;7;1;1;1;1;3;2;4;3;3;2;3;1;2;2;3;1;1;4;2;4;2;6;2;3;3;5;3;3;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;67;2;64;12;4;2;4;30;2;1;2;2;1;1;2;2;2;2;3;2;2;5;47;8;3;3;3;1;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;2;2;2;2;2;1;2;2;2;2;1500;1;4;666;66;2;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;2;5;3;2;1;5;3;2;2;4;3;5;4;1;1;3;3;1;3;4;5;1;3;9;4;4;4;3;2;2;3;2;2;13;5;3;66;1;1;6;2;6;6;2;4;6;6;66;4;66;5;6;6;6;1;1;1;1;1;1;1;2;1;66;6;6;66;6;6;66;6;5;6;66;2;3;2;5;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;7;5;2;2;1;1;2;2;3;96;2;1;2;2;2;2;3;2;2;5;2;2;2;1;2;2;1;2;5;3;2;46;666;7;111;9;7;2;5;5;1;1;7;0,268829604463001;1,68758982592285;0,23910833060696;1,24048308407893;0,21976970941855
8;3;4;4;4;3;4;3;2;4;3;1;3;2;1;1;1;2;1;1;3;3;3;6;6;6;1;1;1;1;1;3;3;4;3;2;2;1;1;1;1;6;2;3;1;2;4;95;4;4;2;1;4;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;43;2;47;7;4;5;5;20;2;5;4;4;2;2;2;2;1;2;3;3;3;3;16;2;3;3;3;2;1;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;2;4;4;1;2;4;4;3;2;4;4;4;1;0;0;2;3;1;2;3;3;1;3;6;4;4;3;3;2;2;2;3;2;8;4;1;6;1;1;6;2;6;1;1;5;1;6;66;66;6;10;2;6;6;6;10;4;4;3;4;2;6;6;1;6;1;4;6;6;8;3;2;6;66;1;6;3;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;11;5;1;1;1;2;2;2;3;3;2;2;2;2;1;1;2;1;1;3;2;2;1;2;2;2;2;4;5;2;5;43;46;7;112;6;0;2;3;3;1;2;7;0,935681540157729;NA;1,04352067273355;NA;1,0617428996044
9;2;3;3;1;3;1;1;1;4;1;2;5;2;2;1;1;5;1;4;3;1;3;1;6;1;1;1;1;1;1;4;2;6;6;4;2;4;1;1;2;5;2;1;4;8;2;95;4;2;2;4;5;3;3;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;44;2;44;13;4;3;5;28;6;5;4;2;2;1;1;2;2;2;13;2;3;5;35;1;5;5;4;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1996;1;1;666;6;9;666;66;2;66;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;66;666;66;6;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;3;3;1;5;1;1;2;3;1;1;5;2;2;1;2;1;2;3;3;3;3;3;1;3;10;4;4;3;5;1;1;3;1;2;9;1;2;4;1;1;6;2;6;1;1;1;1;6;66;3;66;6;2;6;6;6;9;3;1;1;1;2;6;6;66;6;6;66;6;6;66;6;3;1;5;2;2;5;4;1;2;2;1;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;7;5;2;2;2;2;2;2;3;2;2;1;2;2;2;2;2;2;2;4;2;2;2;1;2;1;2;2;5;3;5;52;666;7;111;9;7;2;3;3;1;4;7;0,562279529915919;NA;0,532449419805343;NA;0,553078490951167
10;3;2;3;2;4;3;3;3;2;2;4;3;3;2;6;6;2;1;1;3;3;1;7;6;1;1;1;3;3;2;4;2;5;5;4;2;4;2;1;1;6;2;1;6;95;95;2;5;2;2;2;5;3;2;1;2;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;51;2;47;12;4;6;3;36;4;3;3;2;2;1;1;2;2;2;4;4;5;2;10;5;2;2;2;2;1;1;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;66666;6;6;666;6;66;666;66;6;66;1;2;2;2;2;2;2;2;1;2;1;2;2016;1;2;666;66;2;66;2;66666;66;6;6;6;6;6;6;6;6;6;6;6;6;66;66;2;2;2;3;2;1;3;4;1;2;4;4;5;25;10;0;3;4;1;1;4;4;4;3;5;3;3;5;5;4;2;5;3;2;12;4;1;7;1;1;6;2;6;1;1;2;1;6;66;5;66;10;2;6;6;6;5;1;1;1;1;1;3;2;6;2;2;1;6;6;1;1;1;6;66;1;9;5;1;2;2;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;2;2;2;11;10;1;1;1;1;1;2;4;1;2;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;3;5;3;5;56;52;2;112;10;2;2;5;5;1;1;2;1,64145873937382;NA;1,50490760942872;NA;1,44211710870382
